student_id,first_name,surname,date_of_birth,year_group,gender,home_eircode,interests,club_choice,signup_date,attendance_pct,parent_phone,inferred_income_band,notes
S1001,Sinead,Exampleby,2010-11-25,TY,Female,Z38 AX96,,Chess,2026-09-07,70,080 815 3210,Medium,not club material
S1002,Roisin,Proofer,2010-12-23,TY,Female,Z95 MI35,running; photography; animation,Debating,03/09/2026,55,080 714 6792,Medium,
S1003,Padraig,Placeholder,2010-08-15,Transition Year,Male,Z22 DH23,swimming,Coding,4 Sept 2026,66,080 865 4317,Low,
S1004,Eimear,Mockwell,2010-03-03,TY,Female,Z82 IZ75,music; swimming,,2026-09-02,96,080 736 1795,Medium,
S1005,Clodagh,Dummyford,2010-01-05,TY,Female,Z64 UO17,art,,02/09/2026,80,080 733 4291,High,bit lazy needs pushing
S1006,Maeve,Placeholder,2009-03-26,5th Year,Female,Z86 GR88,animation; drama,Music,6 Sept 2026,71,080 953 5372,High,
S1007,Conall,Dummyford,2010-01-08,TY,Prefer not to say,Z30 RZ32,photography; swimming,Football,2026-09-10,86,080 644 8649,Low,
S1008,Darragh,Stubbington,2010-11-11,4,Male,Z56 GA41,baking,Chess,05/09/2026,73,080 470 4726,Low,
S1009,Eimear,Sampleton,2010-02-06,TY,Female,Z75 LR85,baking; running; music,Football,6 Sept 2026,69,080 962 8295,High,quiet and odd
S1010,Ciara,Exampleby,2011-09-27,3rd Year,Female,Z91 AE33,gaming,Basketball,2026-09-04,55,080 814 7411,Low,
S1011,Donal,Exampleby,2010-06-21,TY,Male,Z88 DO85,gaming; coding,Coding,03/09/2026,95,080 276 2138,Medium,
S1012,Senan,Dummyford,2010-04-10,TY,Male,Z75 JE87,baking,Drama,1 Sept 2026,n/a,080 790 9542,High,
S1013,Senan,Exampleby,2012-05-09,2nd Year,Male,Z87 CO81,swimming; hurling; art,Basketball,2026-09-06,69,080 678 7446,Low,
S1014,Roisin,Fakeham,2012-09-06,2nd Year,Female,Z79 AH33,hurling; baking; reading,Art,10/09/2026,73,080 207 8091,Medium,
S1015,Meabh,Dummyford,2012-02-13,2nd Year,Female,Z31 IC37,camogie; baking; photography,Chess,5 Sept 2026,86,080 414 8450,High,do not put with Cian S
S1016,Tiernan,Draftly,2010-02-12,Transition Year,Male,Z24 BC55,camogie; reading,Drama,2026-09-01,60,080 290 1483,Low,
S1017,Cathal,Fakeham,2010-10-18,,Male,Z15 IT40,camogie,Music,11/09/2026,99,080 533 7298,High,
S1018,Meabh,Testerson,2011-07-06,3rd Year,Female,Z40 BY59,chess; camogie; swimming,Art,12 Sept 2026,91,080 438 5153,Medium,
S1019,Oisin,Proofer,2009-09-22,5th Year,Male,Z60 YS61,reading; animation,Art,2026-09-03,80,080 670 6773,High,troublemaker in first year
S1020,Sinead,Fixture,2010-08-01,Transition Year,Female,Z72 RB64,photography,Football,02/09/2026,92,080 123 8743,Medium,
S1021,Rian,Exampleby,2010-07-14,TY,Male,Z82 AM13,coding; gaming; drama,Coding,12 Sept 2026,57,080 306 8104,Medium,
S1022,Cathal,Sampleton,2008-09-14,6th Year,Male,Z38 PO98,camogie; hurling,Chess,2026-09-09,89,080 675 4898,High,
S1023,Darragh,Specimen,2010-09-17,TY,Male,Z21 GD50,swimming; football; photography,Football,04/09/2026,83,080 303 7953,Medium,
S1024,Tadhg,Fakeham,2011-05-14,3rd Year,Prefer not to say,Z76 YD41,football,Drama,5 Sept 2026,61,080 392 4780,Medium,
S1025,Padraig,Sampleton,2010-03-03,Transition Year,Male,Z49 RV28,coding,Music,2026-09-04,59,080 221 4731,Medium,
S1026,Saoirse,Dummyford,2010-12-12,ty,Female,Z84 PU93,running; chess,Coding,07/09/2026,93,080 274 9072,High,
S1027,Maeve,Specimen,2013-05-03,1st Year,Female,Z53 CL58,running; photography,Football,1 Sept 2026,65,080 733 1646,Low,
S1028,Naoise,Proofer,2010-09-17,4,Male,Z21 PK65,photography,Coding,2026-09-06,60,080 571 2919,High,
S1029,Senan,Proofer,2010-09-21,TY,Prefer not to say,Z34 EC18,reading,Chess,04/09/2026,68,080 855 2684,Medium,parents difficult to deal with
S1030,Sadhbh,Sampleton,2010-11-03,TY,Female,Z64 DP30,gaming,,8 Sept 2026,97,080 673 6265,Medium,
S1031,Tiernan,Placeholder,2010-06-12,TY,Male,Z43 KW33,gaming; baking,Art,2026-09-08,79,080 381 1618,Low,
S1032,Oisin,Fakeham,2010-09-20,Transition Year,Male,Z35 ZE13,hurling; animation; art,Coding,07/09/2026,70,080 727 1570,Medium,
S1033,Tadhg,Mockwell,2011-03-14,3rd Year,Male,Z74 MX39,chess,Basketball,8 Sept 2026,-5,080 358 7196,Low,sibling was a problem
S1034,Ciara,Stubbington,2010-11-26,4,Female,Z12 TA63,chess; running,Drama,2026-09-02,56,080 346 3261,Low,
S1035,Orla,Mockwell,2010-06-24,Transition Year,Female,Z87 SY41,hurling,Coding,03/09/2026,85,080 354 8878,High,
S1036,Odhran,Mockwell,2008-05-23,6th Year,Male,Z41 BW87,baking; gaming; reading,Debating,5 Sept 2026,68,080 739 4632,Medium,promising if pushed
S1037,Orla,Testerson,2010-11-02,TY,Female,Z96 OJ83,chess; football,Coding,2026-09-08,85,080 509 3540,Medium,
S1038,Sinead,Proofer,2009-10-15,5th Year,Female,Z67 BO73,football,Debating,04/09/2026,83,080 709 7082,Medium,
